COMID,CAT_TAV2005_ANN,ACC_TAV2005_ANN,TOT_TAV2005_ANN,source
3917070,6.45,6.45,6.45,TAV2005_ANN_CONUS
3917072,6.6,6.6,6.6,TAV2005_ANN_CONUS
3917082,6.4,6.4,6.4,TAV2005_ANN_CONUS
3917084,6.17,6.17,6.17,TAV2005_ANN_CONUS
3917106,6.52,6.32,6.32,TAV2005_ANN_CONUS
3917114,6.73,6.73,6.73,TAV2005_ANN_CONUS
3917130,6.62,6.79,6.79,TAV2005_ANN_CONUS
3917136,6.78,6.78,6.78,TAV2005_ANN_CONUS
3917138,7,7,7,TAV2005_ANN_CONUS
3917154,6.64,6.6,6.6,TAV2005_ANN_CONUS
3917156,7.17,7.17,7.17,TAV2005_ANN_CONUS
3917158,9.95,9.95,9.95,TAV2005_ANN_CONUS
3917160,9.61,9.61,9.61,TAV2005_ANN_CONUS
3917162,7.04,6.81,6.81,TAV2005_ANN_CONUS
3917164,8.47,8.47,8.47,TAV2005_ANN_CONUS
3917172,7.58,7.58,7.58,TAV2005_ANN_CONUS
3917176,8.18,6.97,6.97,TAV2005_ANN_CONUS
3917178,7.64,6.87,6.87,TAV2005_ANN_CONUS
3917194,7.1,7.1,7.1,TAV2005_ANN_CONUS
3917198,10.24,7.43,7.43,TAV2005_ANN_CONUS
3917200,10.66,7.62,7.62,TAV2005_ANN_CONUS
3917212,8.77,8.77,8.77,TAV2005_ANN_CONUS
3917214,9.91,9.91,9.91,TAV2005_ANN_CONUS
3917218,10.13,9.01,9.01,TAV2005_ANN_CONUS
3917220,10.17,9.09,9.09,TAV2005_ANN_CONUS
3917228,10.17,10.17,10.17,TAV2005_ANN_CONUS
3917230,11.2,11.2,11.2,TAV2005_ANN_CONUS
3917244,11.23,8.77,8.92,TAV2005_ANN_CONUS
3917250,8.62,8.62,8.62,TAV2005_ANN_CONUS
3917256,10.17,8.3,8.3,TAV2005_ANN_CONUS
3917268,10.17,8.38,8.38,TAV2005_ANN_CONUS
3917272,8.92,7.92,7.92,TAV2005_ANN_CONUS
3917274,10.18,10.18,10.18,TAV2005_ANN_CONUS
3917276,8.87,8.11,8.11,TAV2005_ANN_CONUS
3917278,9.36,8.34,8.34,TAV2005_ANN_CONUS
3917280,10.18,8.83,8.83,TAV2005_ANN_CONUS
3917282,9.69,8.55,8.55,TAV2005_ANN_CONUS
3917284,10.22,8.71,8.71,TAV2005_ANN_CONUS
3917286,10.22,10.22,10.22,TAV2005_ANN_CONUS
3917912,7.28,6.82,6.82,TAV2005_ANN_CONUS
3917914,7.47,7.36,7.36,TAV2005_ANN_CONUS
3917916,6.89,7.14,7.14,TAV2005_ANN_CONUS
3917918,9.09,7.26,7.26,TAV2005_ANN_CONUS
3917920,9.98,9.77,9.77,TAV2005_ANN_CONUS
3917922,10.47,10.47,10.47,TAV2005_ANN_CONUS
3917946,11.45,8.83,8.96,TAV2005_ANN_CONUS
3917948,10.77,7.68,7.68,TAV2005_ANN_CONUS
3917950,11.03,8.72,8.89,TAV2005_ANN_CONUS
3917956,7.43,7.43,7.43,TAV2005_ANN_CONUS
3917958,7.72,7.72,7.72,TAV2005_ANN_CONUS
3917960,7.88,7.88,7.88,TAV2005_ANN_CONUS
948010089,10.57,10.47,10.47,TAV2005_ANN_CONUS
