COMID,CAT_PET2014_ANN,ACC_PET2014_ANN,TOT_PET2014_ANN,source
3917070,49.69,49.69,49.69,PET2014_ANN_CONUS
3917072,50.17,50.17,50.17,PET2014_ANN_CONUS
3917082,46.89,46.89,46.89,PET2014_ANN_CONUS
3917084,48.14,48.14,48.14,PET2014_ANN_CONUS
3917106,48.45,48.19,48.19,PET2014_ANN_CONUS
3917114,52.23,52.23,52.23,PET2014_ANN_CONUS
3917130,51.98,50.59,50.59,PET2014_ANN_CONUS
3917136,50.55,50.55,50.55,PET2014_ANN_CONUS
3917138,54.17,54.17,54.17,PET2014_ANN_CONUS
3917154,50.93,50.7,50.7,PET2014_ANN_CONUS
3917156,53.87,53.87,53.87,PET2014_ANN_CONUS
3917158,61.06,61.06,61.06,PET2014_ANN_CONUS
3917160,60.42,60.42,60.42,PET2014_ANN_CONUS
3917162,53.76,50.89,50.89,PET2014_ANN_CONUS
3917164,58.12,58.12,58.12,PET2014_ANN_CONUS
3917172,54.59,54.59,54.59,PET2014_ANN_CONUS
3917176,55.51,51.75,51.75,PET2014_ANN_CONUS
3917178,54.86,51.38,51.38,PET2014_ANN_CONUS
3917194,50.38,50.38,50.38,PET2014_ANN_CONUS
3917198,61.41,53.32,53.32,PET2014_ANN_CONUS
3917200,62.05,53.87,53.87,PET2014_ANN_CONUS
3917212,56.82,56.82,56.82,PET2014_ANN_CONUS
3917214,60.82,60.82,60.82,PET2014_ANN_CONUS
3917218,61.24,57.64,57.64,PET2014_ANN_CONUS
3917220,61.29,57.89,57.89,PET2014_ANN_CONUS
3917228,61.29,61.29,61.29,PET2014_ANN_CONUS
3917230,63.09,63.09,63.09,PET2014_ANN_CONUS
3917244,63.21,55.52,55.05,PET2014_ANN_CONUS
3917250,55.85,55.85,55.85,PET2014_ANN_CONUS
3917256,61.29,53.23,53.23,PET2014_ANN_CONUS
3917268,61.29,53.56,53.56,PET2014_ANN_CONUS
3917272,57.79,50.98,50.98,PET2014_ANN_CONUS
3917274,61.31,61.31,61.31,PET2014_ANN_CONUS
3917276,55.98,50.58,50.58,PET2014_ANN_CONUS
3917278,58.86,52.14,52.14,PET2014_ANN_CONUS
3917280,61.3,54.58,54.58,PET2014_ANN_CONUS
3917282,59.29,53.23,53.23,PET2014_ANN_CONUS
3917284,61.41,53.98,53.98,PET2014_ANN_CONUS
3917286,61.4,61.4,61.4,PET2014_ANN_CONUS
3917912,54.76,51.09,51.09,PET2014_ANN_CONUS
3917914,54.11,53.59,53.59,PET2014_ANN_CONUS
3917916,52.59,51.85,51.85,PET2014_ANN_CONUS
3917918,58.74,52.79,52.79,PET2014_ANN_CONUS
3917920,61.1,60.73,60.73,PET2014_ANN_CONUS
3917922,61.71,61.71,61.71,PET2014_ANN_CONUS
3917946,63.77,55.71,55.19,PET2014_ANN_CONUS
3917948,62.22,54.02,54.02,PET2014_ANN_CONUS
3917950,62.84,55.39,54.95,PET2014_ANN_CONUS
3917956,47.68,47.68,47.68,PET2014_ANN_CONUS
3917958,48.07,48.07,48.07,PET2014_ANN_CONUS
3917960,48.81,48.81,48.81,PET2014_ANN_CONUS
948010089,61.82,61.72,61.72,PET2014_ANN_CONUS
