COMID,CAT_PPT1948_ANN,ACC_PPT1948_ANN,TOT_PPT1948_ANN,source
3917070,907.44,907.44,907.44,PPT1948_ANN_CONUS
3917072,877.08,877.08,877.08,PPT1948_ANN_CONUS
3917082,888.6,888.6,888.6,PPT1948_ANN_CONUS
3917084,909.84,909.84,909.84,PPT1948_ANN_CONUS
3917106,850.08,885.84,885.84,PPT1948_ANN_CONUS
3917114,824.52,824.52,824.52,PPT1948_ANN_CONUS
3917130,801.96,835.92,835.92,PPT1948_ANN_CONUS
3917136,791.64,791.64,791.64,PPT1948_ANN_CONUS
3917138,716.28,716.28,716.28,PPT1948_ANN_CONUS
3917154,857.88,867,867,PPT1948_ANN_CONUS
3917156,780.6,780.6,780.6,PPT1948_ANN_CONUS
3917158,508.32,508.32,508.32,PPT1948_ANN_CONUS
3917160,558,558,558,PPT1948_ANN_CONUS
3917162,764.04,829.56,829.56,PPT1948_ANN_CONUS
3917164,684.96,684.96,684.96,PPT1948_ANN_CONUS
3917172,770.52,770.52,770.52,PPT1948_ANN_CONUS
3917176,770.76,818.64,818.64,PPT1948_ANN_CONUS
3917178,774.48,824.28,824.28,PPT1948_ANN_CONUS
3917194,885.72,885.72,885.72,PPT1948_ANN_CONUS
3917198,489,775.08,775.08,PPT1948_ANN_CONUS
3917200,451.08,755.4,755.4,PPT1948_ANN_CONUS
3917212,744.84,744.84,744.84,PPT1948_ANN_CONUS
3917214,543.36,543.36,543.36,PPT1948_ANN_CONUS
3917218,506.16,702.12,702.12,PPT1948_ANN_CONUS
3917220,505.68,688.68,688.68,PPT1948_ANN_CONUS
3917228,505.68,505.68,505.68,PPT1948_ANN_CONUS
3917230,393,393,393,PPT1948_ANN_CONUS
3917244,404.88,787.08,833.64,PPT1948_ANN_CONUS
3917250,803.28,803.28,803.28,PPT1948_ANN_CONUS
3917256,505.68,891.24,891.24,PPT1948_ANN_CONUS
3917268,505.68,875.52,875.52,PPT1948_ANN_CONUS
3917272,721.08,981.12,981.12,PPT1948_ANN_CONUS
3917274,507.48,507.48,507.48,PPT1948_ANN_CONUS
3917276,842.52,1020.6,1020.6,PPT1948_ANN_CONUS
3917278,676.56,955.8,955.8,PPT1948_ANN_CONUS
3917280,507,842.04,842.04,PPT1948_ANN_CONUS
3917282,645.72,907.92,907.92,PPT1948_ANN_CONUS
3917284,513.84,871.68,871.68,PPT1948_ANN_CONUS
3917286,513.48,513.48,513.48,PPT1948_ANN_CONUS
3917912,752.16,828.72,828.72,PPT1948_ANN_CONUS
3917914,697.44,711.24,711.24,PPT1948_ANN_CONUS
3917916,787.2,810.72,810.72,PPT1948_ANN_CONUS
3917918,622.44,792.36,792.36,PPT1948_ANN_CONUS
3917920,505.32,534.12,534.12,PPT1948_ANN_CONUS
3917922,471.36,471.36,471.36,PPT1948_ANN_CONUS
3917946,430.68,779.04,827.04,PPT1948_ANN_CONUS
3917948,439.08,749.4,749.4,PPT1948_ANN_CONUS
3917950,416.52,794.04,839.16,PPT1948_ANN_CONUS
3917956,1107.24,1107.24,1107.24,PPT1948_ANN_CONUS
3917958,1105.56,1105.56,1105.56,PPT1948_ANN_CONUS
3917960,1077.36,1077.36,1077.36,PPT1948_ANN_CONUS
948010089,461.52,470.52,470.52,PPT1948_ANN_CONUS
