COMID,CAT_PPT1997_ANN,ACC_PPT1997_ANN,TOT_PPT1997_ANN,source
3917070,698.04,698.04,698.04,PPT1997_ANN_CONUS
3917072,687.84,687.84,687.84,PPT1997_ANN_CONUS
3917082,629.76,629.76,629.76,PPT1997_ANN_CONUS
3917084,654.12,654.12,654.12,PPT1997_ANN_CONUS
3917106,616.08,638.28,638.28,PPT1997_ANN_CONUS
3917114,642.96,642.96,642.96,PPT1997_ANN_CONUS
3917130,635.4,605.04,605.04,PPT1997_ANN_CONUS
3917136,562.44,562.44,562.44,PPT1997_ANN_CONUS
3917138,513.6,513.6,513.6,PPT1997_ANN_CONUS
3917154,670.32,675.48,675.48,PPT1997_ANN_CONUS
3917156,643.08,643.08,643.08,PPT1997_ANN_CONUS
3917158,516.6,516.6,516.6,PPT1997_ANN_CONUS
3917160,554.28,554.28,554.28,PPT1997_ANN_CONUS
3917162,626.88,607.8,607.8,PPT1997_ANN_CONUS
3917164,594,594,594,PPT1997_ANN_CONUS
3917172,635.76,635.76,635.76,PPT1997_ANN_CONUS
3917176,612.84,617.88,617.88,PPT1997_ANN_CONUS
3917178,628.32,616.8,616.8,PPT1997_ANN_CONUS
3917194,617.52,617.52,617.52,PPT1997_ANN_CONUS
3917198,496.32,606.12,606.12,PPT1997_ANN_CONUS
3917200,459.6,598.92,598.92,PPT1997_ANN_CONUS
3917212,593.52,593.52,593.52,PPT1997_ANN_CONUS
3917214,501.36,501.36,501.36,PPT1997_ANN_CONUS
3917218,486.6,574.2,574.2,PPT1997_ANN_CONUS
3917220,479.64,567.72,567.72,PPT1997_ANN_CONUS
3917228,479.64,479.64,479.64,PPT1997_ANN_CONUS
3917230,423.36,423.36,423.36,PPT1997_ANN_CONUS
3917244,425.76,627.24,664.44,PPT1997_ANN_CONUS
3917250,609.6,609.6,609.6,PPT1997_ANN_CONUS
3917256,479.64,637.32,637.32,PPT1997_ANN_CONUS
3917268,479.64,630.96,630.96,PPT1997_ANN_CONUS
3917272,583.92,670.08,670.08,PPT1997_ANN_CONUS
3917274,481.32,481.32,481.32,PPT1997_ANN_CONUS
3917276,670.32,698.4,698.4,PPT1997_ANN_CONUS
3917278,579.72,675.96,675.96,PPT1997_ANN_CONUS
3917280,480.84,629.52,629.52,PPT1997_ANN_CONUS
3917282,563.64,658.32,658.32,PPT1997_ANN_CONUS
3917284,487.32,642.6,642.6,PPT1997_ANN_CONUS
3917286,486.96,486.96,486.96,PPT1997_ANN_CONUS
3917912,630.96,615.24,615.24,PPT1997_ANN_CONUS
3917914,498.36,507.72,507.72,PPT1997_ANN_CONUS
3917916,582.72,576.36,576.36,PPT1997_ANN_CONUS
3917918,561,611.16,611.16,PPT1997_ANN_CONUS
3917920,514.8,536.28,536.28,PPT1997_ANN_CONUS
3917922,496.2,496.2,496.2,PPT1997_ANN_CONUS
3917946,414.96,622.56,660.36,PPT1997_ANN_CONUS
3917948,453.72,596.16,596.16,PPT1997_ANN_CONUS
3917950,436.92,630.84,667.44,PPT1997_ANN_CONUS
3917956,711.84,711.84,711.84,PPT1997_ANN_CONUS
3917958,708.12,708.12,708.12,PPT1997_ANN_CONUS
3917960,709.44,709.44,709.44,PPT1997_ANN_CONUS
948010089,487.92,495.48,495.48,PPT1997_ANN_CONUS
