COMID,CAT_RUN1967_ANN,ACC_RUN1967_ANN,TOT_RUN1967_ANN,source
3917070,424.56,424.56,424.56,RUN1967_ANN_CONUS
3917072,410.52,410.52,410.52,RUN1967_ANN_CONUS
3917082,432.12,432.12,432.12,RUN1967_ANN_CONUS
3917084,439.32,439.32,439.32,RUN1967_ANN_CONUS
3917106,402,424.56,424.56,RUN1967_ANN_CONUS
3917114,374.64,374.64,374.64,RUN1967_ANN_CONUS
3917130,358.56,411.84,411.84,RUN1967_ANN_CONUS
3917136,361.08,361.08,361.08,RUN1967_ANN_CONUS
3917138,301.32,301.32,301.32,RUN1967_ANN_CONUS
3917154,397.32,402.36,402.36,RUN1967_ANN_CONUS
3917156,341.4,341.4,341.4,RUN1967_ANN_CONUS
3917158,101.76,101.76,101.76,RUN1967_ANN_CONUS
3917160,129,129,129,RUN1967_ANN_CONUS
3917162,338.76,404.88,404.88,RUN1967_ANN_CONUS
3917164,234.36,234.36,234.36,RUN1967_ANN_CONUS
3917172,313.2,313.2,313.2,RUN1967_ANN_CONUS
3917176,358.92,389.28,389.28,RUN1967_ANN_CONUS
3917178,358.44,396.24,396.24,RUN1967_ANN_CONUS
3917194,502.92,502.92,502.92,RUN1967_ANN_CONUS
3917198,94.56,346.56,346.56,RUN1967_ANN_CONUS
3917200,74.28,329.52,329.52,RUN1967_ANN_CONUS
3917212,314.16,314.16,314.16,RUN1967_ANN_CONUS
3917214,130.68,130.68,130.68,RUN1967_ANN_CONUS
3917218,108,276.36,276.36,RUN1967_ANN_CONUS
3917220,109.56,264.96,264.96,RUN1967_ANN_CONUS
3917228,109.56,109.56,109.56,RUN1967_ANN_CONUS
3917230,45.72,45.72,45.72,RUN1967_ANN_CONUS
3917244,51.24,374.64,410.76,RUN1967_ANN_CONUS
3917250,366.48,366.48,366.48,RUN1967_ANN_CONUS
3917256,109.56,474,474,RUN1967_ANN_CONUS
3917268,109.56,459.12,459.12,RUN1967_ANN_CONUS
3917272,273.6,570.84,570.84,RUN1967_ANN_CONUS
3917274,111.48,111.48,111.48,RUN1967_ANN_CONUS
3917276,270.6,567.48,567.48,RUN1967_ANN_CONUS
3917278,187.8,495.96,495.96,RUN1967_ANN_CONUS
3917280,111,391.56,391.56,RUN1967_ANN_CONUS
3917282,169.32,446.52,446.52,RUN1967_ANN_CONUS
3917284,118.44,416.28,416.28,RUN1967_ANN_CONUS
3917286,118.08,118.08,118.08,RUN1967_ANN_CONUS
3917912,325.56,400.32,400.32,RUN1967_ANN_CONUS
3917914,308.64,316.2,316.2,RUN1967_ANN_CONUS
3917916,365.52,415.56,415.56,RUN1967_ANN_CONUS
3917918,208.08,363,363,RUN1967_ANN_CONUS
3917920,100.32,115.92,115.92,RUN1967_ANN_CONUS
3917922,84.36,84.36,84.36,RUN1967_ANN_CONUS
3917946,49.92,367.32,404.88,RUN1967_ANN_CONUS
3917948,66.6,324.48,324.48,RUN1967_ANN_CONUS
3917950,58.08,380.4,415.44,RUN1967_ANN_CONUS
3917956,714.96,714.96,714.96,RUN1967_ANN_CONUS
3917958,712.92,712.92,712.92,RUN1967_ANN_CONUS
3917960,659.88,659.88,659.88,RUN1967_ANN_CONUS
948010089,79.44,83.88,83.88,RUN1967_ANN_CONUS
