COMID,CAT_TAV1983_ANN,ACC_TAV1983_ANN,TOT_TAV1983_ANN,source
3917070,7.6,7.6,7.6,TAV1983_ANN_CONUS
3917072,7.77,7.77,7.77,TAV1983_ANN_CONUS
3917082,7.31,7.31,7.31,TAV1983_ANN_CONUS
3917084,7.08,7.08,7.08,TAV1983_ANN_CONUS
3917106,7.45,7.24,7.24,TAV1983_ANN_CONUS
3917114,7.56,7.56,7.56,TAV1983_ANN_CONUS
3917130,7.65,7.6,7.6,TAV1983_ANN_CONUS
3917136,7.59,7.59,7.59,TAV1983_ANN_CONUS
3917138,7.72,7.72,7.72,TAV1983_ANN_CONUS
3917154,7.67,7.66,7.66,TAV1983_ANN_CONUS
3917156,8.07,8.07,8.07,TAV1983_ANN_CONUS
3917158,9.54,9.54,9.54,TAV1983_ANN_CONUS
3917160,9.25,9.25,9.25,TAV1983_ANN_CONUS
3917162,8,7.63,7.63,TAV1983_ANN_CONUS
3917164,8.74,8.74,8.74,TAV1983_ANN_CONUS
3917172,8.29,8.29,8.29,TAV1983_ANN_CONUS
3917176,8.54,7.78,7.78,TAV1983_ANN_CONUS
3917178,8.29,7.71,7.71,TAV1983_ANN_CONUS
3917194,7.75,7.75,7.75,TAV1983_ANN_CONUS
3917198,9.79,8.06,8.06,TAV1983_ANN_CONUS
3917200,10.18,8.18,8.18,TAV1983_ANN_CONUS
3917212,8.71,8.71,8.71,TAV1983_ANN_CONUS
3917214,9.62,9.62,9.62,TAV1983_ANN_CONUS
3917218,9.81,8.9,8.9,TAV1983_ANN_CONUS
3917220,9.88,8.97,8.97,TAV1983_ANN_CONUS
3917228,9.88,9.88,9.88,TAV1983_ANN_CONUS
3917230,10.7,10.7,10.7,TAV1983_ANN_CONUS
3917244,10.63,8.21,8.15,TAV1983_ANN_CONUS
3917250,8.52,8.52,8.52,TAV1983_ANN_CONUS
3917256,9.88,8.31,8.31,TAV1983_ANN_CONUS
3917268,9.88,8.38,8.38,TAV1983_ANN_CONUS
3917272,8.74,8.02,8.02,TAV1983_ANN_CONUS
3917274,9.82,9.82,9.82,TAV1983_ANN_CONUS
3917276,8.39,7.72,7.72,TAV1983_ANN_CONUS
3917278,9,7.96,7.96,TAV1983_ANN_CONUS
3917280,9.84,8.41,8.41,TAV1983_ANN_CONUS
3917282,9.17,8.15,8.15,TAV1983_ANN_CONUS
3917284,9.66,8.29,8.29,TAV1983_ANN_CONUS
3917286,9.66,9.66,9.66,TAV1983_ANN_CONUS
3917912,8.14,7.66,7.66,TAV1983_ANN_CONUS
3917914,8.08,8,8,TAV1983_ANN_CONUS
3917916,7.75,7.83,7.83,TAV1983_ANN_CONUS
3917918,9.08,7.96,7.96,TAV1983_ANN_CONUS
3917920,9.56,9.39,9.39,TAV1983_ANN_CONUS
3917922,9.91,9.91,9.91,TAV1983_ANN_CONUS
3917946,10.85,8.27,8.19,TAV1983_ANN_CONUS
3917948,10.25,8.22,8.22,TAV1983_ANN_CONUS
3917950,10.43,8.17,8.11,TAV1983_ANN_CONUS
3917956,7.67,7.67,7.67,TAV1983_ANN_CONUS
3917958,7.5,7.5,7.5,TAV1983_ANN_CONUS
3917960,7.45,7.45,7.45,TAV1983_ANN_CONUS
948010089,9.98,9.91,9.91,TAV1983_ANN_CONUS
