COMID,CAT_PPT1985_ANN,ACC_PPT1985_ANN,TOT_PPT1985_ANN,source
3917070,582.96,582.96,582.96,PPT1985_ANN_CONUS
3917072,559.68,559.68,559.68,PPT1985_ANN_CONUS
3917082,544.56,544.56,544.56,PPT1985_ANN_CONUS
3917084,573.72,573.72,573.72,PPT1985_ANN_CONUS
3917106,514.2,549.36,549.36,PPT1985_ANN_CONUS
3917114,504,504,504,PPT1985_ANN_CONUS
3917130,485.64,488.16,488.16,PPT1985_ANN_CONUS
3917136,459.24,459.24,459.24,PPT1985_ANN_CONUS
3917138,397.2,397.2,397.2,PPT1985_ANN_CONUS
3917154,538.92,547.08,547.08,PPT1985_ANN_CONUS
3917156,468.6,468.6,468.6,PPT1985_ANN_CONUS
3917158,273.84,273.84,273.84,PPT1985_ANN_CONUS
3917160,296.04,296.04,296.04,PPT1985_ANN_CONUS
3917162,444.72,484.92,484.92,PPT1985_ANN_CONUS
3917164,387.6,387.6,387.6,PPT1985_ANN_CONUS
3917172,463.08,463.08,463.08,PPT1985_ANN_CONUS
3917176,409.56,480.12,480.12,PPT1985_ANN_CONUS
3917178,432.12,484.44,484.44,PPT1985_ANN_CONUS
3917194,491.64,491.64,491.64,PPT1985_ANN_CONUS
3917198,265.8,449.16,449.16,PPT1985_ANN_CONUS
3917200,239.04,437.16,437.16,PPT1985_ANN_CONUS
3917212,395.16,395.16,395.16,PPT1985_ANN_CONUS
3917214,288.36,288.36,288.36,PPT1985_ANN_CONUS
3917218,267.6,372.36,372.36,PPT1985_ANN_CONUS
3917220,266.16,365.04,365.04,PPT1985_ANN_CONUS
3917228,266.16,266.16,266.16,PPT1985_ANN_CONUS
3917230,213,213,213,PPT1985_ANN_CONUS
3917244,222.48,395.52,411.12,PPT1985_ANN_CONUS
3917250,425.88,425.88,425.88,PPT1985_ANN_CONUS
3917256,266.16,471.24,471.24,PPT1985_ANN_CONUS
3917268,266.16,462.84,462.84,PPT1985_ANN_CONUS
3917272,385.68,518.28,518.28,PPT1985_ANN_CONUS
3917274,267.72,267.72,267.72,PPT1985_ANN_CONUS
3917276,411.12,518.16,518.16,PPT1985_ANN_CONUS
3917278,346.68,485.88,485.88,PPT1985_ANN_CONUS
3917280,267.24,429.72,429.72,PPT1985_ANN_CONUS
3917282,326.04,461.28,461.28,PPT1985_ANN_CONUS
3917284,273.48,444.12,444.12,PPT1985_ANN_CONUS
3917286,273.12,273.12,273.12,PPT1985_ANN_CONUS
3917912,440.88,488.16,488.16,PPT1985_ANN_CONUS
3917914,367.92,381.48,381.48,PPT1985_ANN_CONUS
3917916,448.8,448.56,448.56,PPT1985_ANN_CONUS
3917918,332.16,460.8,460.8,PPT1985_ANN_CONUS
3917920,272.88,285.48,285.48,PPT1985_ANN_CONUS
3917922,264.84,264.84,264.84,PPT1985_ANN_CONUS
3917946,228.6,391.68,408.24,PPT1985_ANN_CONUS
3917948,232.2,433.32,433.32,PPT1985_ANN_CONUS
3917950,220.92,398.64,413.64,PPT1985_ANN_CONUS
3917956,582.48,582.48,582.48,PPT1985_ANN_CONUS
3917958,569.64,569.64,569.64,PPT1985_ANN_CONUS
3917960,552.12,552.12,552.12,PPT1985_ANN_CONUS
948010089,259.44,264.36,264.36,PPT1985_ANN_CONUS
