COMID,CAT_TAV1999_ANN,ACC_TAV1999_ANN,TOT_TAV1999_ANN,source
3917070,5.82,5.82,5.82,TAV1999_ANN_CONUS
3917072,6,6,6,TAV1999_ANN_CONUS
3917082,5.82,5.82,5.82,TAV1999_ANN_CONUS
3917084,5.55,5.55,5.55,TAV1999_ANN_CONUS
3917106,5.96,5.72,5.72,TAV1999_ANN_CONUS
3917114,6.14,6.14,6.14,TAV1999_ANN_CONUS
3917130,6.04,6.27,6.27,TAV1999_ANN_CONUS
3917136,6.28,6.28,6.28,TAV1999_ANN_CONUS
3917138,6.56,6.56,6.56,TAV1999_ANN_CONUS
3917154,6.04,6,6,TAV1999_ANN_CONUS
3917156,6.61,6.61,6.61,TAV1999_ANN_CONUS
3917158,9.29,9.29,9.29,TAV1999_ANN_CONUS
3917160,8.93,8.93,8.93,TAV1999_ANN_CONUS
3917162,6.49,6.28,6.28,TAV1999_ANN_CONUS
3917164,7.89,7.89,7.89,TAV1999_ANN_CONUS
3917172,7,7,7,TAV1999_ANN_CONUS
3917176,7.62,6.43,6.43,TAV1999_ANN_CONUS
3917178,7.11,6.34,6.34,TAV1999_ANN_CONUS
3917194,6.62,6.62,6.62,TAV1999_ANN_CONUS
3917198,9.58,6.87,6.87,TAV1999_ANN_CONUS
3917200,10.01,7.06,7.06,TAV1999_ANN_CONUS
3917212,8.16,8.16,8.16,TAV1999_ANN_CONUS
3917214,9.28,9.28,9.28,TAV1999_ANN_CONUS
3917218,9.49,8.4,8.4,TAV1999_ANN_CONUS
3917220,9.54,8.48,8.48,TAV1999_ANN_CONUS
3917228,9.54,9.54,9.54,TAV1999_ANN_CONUS
3917230,10.56,10.56,10.56,TAV1999_ANN_CONUS
3917244,10.58,8.08,8.18,TAV1999_ANN_CONUS
3917250,8.01,8.01,8.01,TAV1999_ANN_CONUS
3917256,9.54,7.7,7.7,TAV1999_ANN_CONUS
3917268,9.54,7.77,7.77,TAV1999_ANN_CONUS
3917272,8.3,7.32,7.32,TAV1999_ANN_CONUS
3917274,9.55,9.55,9.55,TAV1999_ANN_CONUS
3917276,8.25,7.48,7.48,TAV1999_ANN_CONUS
3917278,8.73,7.72,7.72,TAV1999_ANN_CONUS
3917280,9.55,8.2,8.2,TAV1999_ANN_CONUS
3917282,9.07,7.93,7.93,TAV1999_ANN_CONUS
3917284,9.61,8.08,8.08,TAV1999_ANN_CONUS
3917286,9.6,9.6,9.6,TAV1999_ANN_CONUS
3917912,6.73,6.28,6.28,TAV1999_ANN_CONUS
3917914,7.1,6.97,6.97,TAV1999_ANN_CONUS
3917916,6.4,6.68,6.68,TAV1999_ANN_CONUS
3917918,8.49,6.71,6.71,TAV1999_ANN_CONUS
3917920,9.33,9.11,9.11,TAV1999_ANN_CONUS
3917922,9.78,9.78,9.78,TAV1999_ANN_CONUS
3917946,10.92,8.14,8.23,TAV1999_ANN_CONUS
3917948,10.12,7.12,7.12,TAV1999_ANN_CONUS
3917950,10.38,8.04,8.15,TAV1999_ANN_CONUS
3917956,6.85,6.85,6.85,TAV1999_ANN_CONUS
3917958,7.1,7.1,7.1,TAV1999_ANN_CONUS
3917960,7.25,7.25,7.25,TAV1999_ANN_CONUS
948010089,9.88,9.78,9.78,TAV1999_ANN_CONUS
