COMID,CAT_TAV2011_ANN,ACC_TAV2011_ANN,TOT_TAV2011_ANN,source
3917070,6.89,6.89,6.89,TAV2011_ANN_CONUS
3917072,7.03,7.03,7.03,TAV2011_ANN_CONUS
3917082,6.05,6.05,6.05,TAV2011_ANN_CONUS
3917084,6.47,6.47,6.47,TAV2011_ANN_CONUS
3917106,6.52,6.47,6.47,TAV2011_ANN_CONUS
3917114,7.67,7.67,7.67,TAV2011_ANN_CONUS
3917130,7.62,7.17,7.17,TAV2011_ANN_CONUS
3917136,7.13,7.13,7.13,TAV2011_ANN_CONUS
3917138,8.23,8.23,8.23,TAV2011_ANN_CONUS
3917154,7.26,7.19,7.19,TAV2011_ANN_CONUS
3917156,8.09,8.09,8.09,TAV2011_ANN_CONUS
3917158,9.83,9.83,9.83,TAV2011_ANN_CONUS
3917160,9.74,9.74,9.74,TAV2011_ANN_CONUS
3917162,8.11,7.26,7.26,TAV2011_ANN_CONUS
3917164,9.19,9.19,9.19,TAV2011_ANN_CONUS
3917172,8.24,8.24,8.24,TAV2011_ANN_CONUS
3917176,8.51,7.49,7.49,TAV2011_ANN_CONUS
3917178,8.36,7.39,7.39,TAV2011_ANN_CONUS
3917194,7.09,7.09,7.09,TAV2011_ANN_CONUS
3917198,9.88,7.9,7.9,TAV2011_ANN_CONUS
3917200,9.93,8.03,8.03,TAV2011_ANN_CONUS
3917212,8.84,8.84,8.84,TAV2011_ANN_CONUS
3917214,9.77,9.77,9.77,TAV2011_ANN_CONUS
3917218,9.83,9.02,9.02,TAV2011_ANN_CONUS
3917220,9.84,9.08,9.08,TAV2011_ANN_CONUS
3917228,9.84,9.84,9.84,TAV2011_ANN_CONUS
3917230,10.11,10.11,10.11,TAV2011_ANN_CONUS
3917244,10.12,8.44,8.34,TAV2011_ANN_CONUS
3917250,8.6,8.6,8.6,TAV2011_ANN_CONUS
3917256,9.84,7.85,7.85,TAV2011_ANN_CONUS
3917268,9.84,7.94,7.94,TAV2011_ANN_CONUS
3917272,9.11,7.25,7.25,TAV2011_ANN_CONUS
3917274,9.86,9.86,9.86,TAV2011_ANN_CONUS
3917276,8.71,7.22,7.22,TAV2011_ANN_CONUS
3917278,9.37,7.62,7.62,TAV2011_ANN_CONUS
3917280,9.85,8.23,8.23,TAV2011_ANN_CONUS
3917282,9.45,7.9,7.9,TAV2011_ANN_CONUS
3917284,9.93,8.09,8.09,TAV2011_ANN_CONUS
3917286,9.92,9.92,9.92,TAV2011_ANN_CONUS
3917912,8.36,7.31,7.31,TAV2011_ANN_CONUS
3917914,8.18,8.03,8.03,TAV2011_ANN_CONUS
3917916,7.77,7.53,7.53,TAV2011_ANN_CONUS
3917918,9.3,7.77,7.77,TAV2011_ANN_CONUS
3917920,9.84,9.79,9.79,TAV2011_ANN_CONUS
3917922,9.95,9.95,9.95,TAV2011_ANN_CONUS
3917946,10.26,8.48,8.37,TAV2011_ANN_CONUS
3917948,9.95,8.07,8.07,TAV2011_ANN_CONUS
3917950,10.06,8.41,8.32,TAV2011_ANN_CONUS
3917956,6.35,6.35,6.35,TAV2011_ANN_CONUS
3917958,6.52,6.52,6.52,TAV2011_ANN_CONUS
3917960,6.74,6.74,6.74,TAV2011_ANN_CONUS
948010089,9.96,9.95,9.95,TAV2011_ANN_CONUS
