COMID,CAT_TAV1988_ANN,ACC_TAV1988_ANN,TOT_TAV1988_ANN,source
3917070,8.48,8.48,8.48,TAV1988_ANN_CONUS
3917072,8.64,8.64,8.64,TAV1988_ANN_CONUS
3917082,8.11,8.11,8.11,TAV1988_ANN_CONUS
3917084,7.92,7.92,7.92,TAV1988_ANN_CONUS
3917106,8.24,8.05,8.05,TAV1988_ANN_CONUS
3917114,8.38,8.38,8.38,TAV1988_ANN_CONUS
3917130,8.43,8.39,8.39,TAV1988_ANN_CONUS
3917136,8.38,8.38,8.38,TAV1988_ANN_CONUS
3917138,8.52,8.52,8.52,TAV1988_ANN_CONUS
3917154,8.52,8.51,8.51,TAV1988_ANN_CONUS
3917156,8.9,8.9,8.9,TAV1988_ANN_CONUS
3917158,10.34,10.34,10.34,TAV1988_ANN_CONUS
3917160,10.16,10.16,10.16,TAV1988_ANN_CONUS
3917162,8.77,8.42,8.42,TAV1988_ANN_CONUS
3917164,9.63,9.63,9.63,TAV1988_ANN_CONUS
3917172,9.17,9.17,9.17,TAV1988_ANN_CONUS
3917176,9.39,8.58,8.58,TAV1988_ANN_CONUS
3917178,9.09,8.5,8.5,TAV1988_ANN_CONUS
3917194,8.51,8.51,8.51,TAV1988_ANN_CONUS
3917198,10.56,8.87,8.87,TAV1988_ANN_CONUS
3917200,10.82,8.99,8.99,TAV1988_ANN_CONUS
3917212,9.57,9.57,9.57,TAV1988_ANN_CONUS
3917214,10.42,10.42,10.42,TAV1988_ANN_CONUS
3917218,10.59,9.75,9.75,TAV1988_ANN_CONUS
3917220,10.65,9.81,9.81,TAV1988_ANN_CONUS
3917228,10.65,10.65,10.65,TAV1988_ANN_CONUS
3917230,11.11,11.11,11.11,TAV1988_ANN_CONUS
3917244,11.08,9.23,9.31,TAV1988_ANN_CONUS
3917250,9.39,9.39,9.39,TAV1988_ANN_CONUS
3917256,10.65,9.16,9.16,TAV1988_ANN_CONUS
3917268,10.65,9.23,9.23,TAV1988_ANN_CONUS
3917272,9.61,8.88,8.88,TAV1988_ANN_CONUS
3917274,10.62,10.62,10.62,TAV1988_ANN_CONUS
3917276,9.48,8.77,8.77,TAV1988_ANN_CONUS
3917278,9.93,8.99,8.99,TAV1988_ANN_CONUS
3917280,10.63,9.4,9.4,TAV1988_ANN_CONUS
3917282,10.13,9.16,9.16,TAV1988_ANN_CONUS
3917284,10.52,9.29,9.29,TAV1988_ANN_CONUS
3917286,10.52,10.52,10.52,TAV1988_ANN_CONUS
3917912,8.94,8.46,8.46,TAV1988_ANN_CONUS
3917914,8.83,8.76,8.76,TAV1988_ANN_CONUS
3917916,8.54,8.59,8.59,TAV1988_ANN_CONUS
3917918,9.91,8.77,8.77,TAV1988_ANN_CONUS
3917920,10.36,10.25,10.25,TAV1988_ANN_CONUS
3917922,10.66,10.66,10.66,TAV1988_ANN_CONUS
3917946,11.16,9.28,9.34,TAV1988_ANN_CONUS
3917948,10.87,9.02,9.02,TAV1988_ANN_CONUS
3917950,10.99,9.2,9.29,TAV1988_ANN_CONUS
3917956,8.52,8.52,8.52,TAV1988_ANN_CONUS
3917958,8.49,8.49,8.49,TAV1988_ANN_CONUS
3917960,8.51,8.51,8.51,TAV1988_ANN_CONUS
948010089,10.72,10.67,10.67,TAV1988_ANN_CONUS
