COMID,CAT_TAV1971_ANN,ACC_TAV1971_ANN,TOT_TAV1971_ANN,source
3917070,6.69,6.69,6.69,TAV1971_ANN_CONUS
3917072,6.84,6.84,6.84,TAV1971_ANN_CONUS
3917082,6.36,6.36,6.36,TAV1971_ANN_CONUS
3917084,6.15,6.15,6.15,TAV1971_ANN_CONUS
3917106,6.5,6.3,6.3,TAV1971_ANN_CONUS
3917114,6.6,6.6,6.6,TAV1971_ANN_CONUS
3917130,6.71,6.64,6.64,TAV1971_ANN_CONUS
3917136,6.62,6.62,6.62,TAV1971_ANN_CONUS
3917138,6.75,6.75,6.75,TAV1971_ANN_CONUS
3917154,6.73,6.72,6.72,TAV1971_ANN_CONUS
3917156,7.09,7.09,7.09,TAV1971_ANN_CONUS
3917158,8.51,8.51,8.51,TAV1971_ANN_CONUS
3917160,8.25,8.25,8.25,TAV1971_ANN_CONUS
3917162,7.03,6.67,6.67,TAV1971_ANN_CONUS
3917164,7.73,7.73,7.73,TAV1971_ANN_CONUS
3917172,7.31,7.31,7.31,TAV1971_ANN_CONUS
3917176,7.55,6.81,6.81,TAV1971_ANN_CONUS
3917178,7.29,6.75,6.75,TAV1971_ANN_CONUS
3917194,6.8,6.8,6.8,TAV1971_ANN_CONUS
3917198,8.82,7.08,7.08,TAV1971_ANN_CONUS
3917200,9.28,7.2,7.2,TAV1971_ANN_CONUS
3917230,9.88,9.88,9.88,TAV1971_ANN_CONUS
3917244,9.81,7.33,7.32,TAV1971_ANN_CONUS
3917912,7.14,6.7,6.7,TAV1971_ANN_CONUS
3917914,7.02,6.96,6.96,TAV1971_ANN_CONUS
3917916,6.8,6.85,6.85,TAV1971_ANN_CONUS
3917918,8.07,6.99,6.99,TAV1971_ANN_CONUS
3917920,8.54,8.38,8.38,TAV1971_ANN_CONUS
3917922,8.94,8.94,8.94,TAV1971_ANN_CONUS
3917946,10.09,7.39,7.37,TAV1971_ANN_CONUS
3917948,9.36,7.24,7.24,TAV1971_ANN_CONUS
3917950,9.58,7.29,7.29,TAV1971_ANN_CONUS
948010089,9.03,8.95,8.95,TAV1971_ANN_CONUS
