COMID,CAT_RUN2004_ANN,ACC_RUN2004_ANN,TOT_RUN2004_ANN,source
3917070,384.84,384.84,384.84,RUN2004_ANN_CONUS
3917072,371.76,371.76,371.76,RUN2004_ANN_CONUS
3917082,307.68,307.68,307.68,RUN2004_ANN_CONUS
3917084,368.52,368.52,368.52,RUN2004_ANN_CONUS
3917106,291.96,335.88,335.88,RUN2004_ANN_CONUS
3917114,327.48,327.48,327.48,RUN2004_ANN_CONUS
3917130,321.48,285.84,285.84,RUN2004_ANN_CONUS
3917136,236.76,236.76,236.76,RUN2004_ANN_CONUS
3917138,198,198,198,RUN2004_ANN_CONUS
3917154,355.32,360.84,360.84,RUN2004_ANN_CONUS
3917156,287.76,287.76,287.76,RUN2004_ANN_CONUS
3917158,104.76,104.76,104.76,RUN2004_ANN_CONUS
3917160,137.16,137.16,137.16,RUN2004_ANN_CONUS
3917162,276.96,286.08,286.08,RUN2004_ANN_CONUS
3917164,177.48,177.48,177.48,RUN2004_ANN_CONUS
3917172,263.04,263.04,263.04,RUN2004_ANN_CONUS
3917176,198.24,283.56,283.56,RUN2004_ANN_CONUS
3917178,237.96,288.72,288.72,RUN2004_ANN_CONUS
3917194,273.36,273.36,273.36,RUN2004_ANN_CONUS
3917198,91.8,254.76,254.76,RUN2004_ANN_CONUS
3917200,62.88,243.72,243.72,RUN2004_ANN_CONUS
3917230,31.2,31.2,31.2,RUN2004_ANN_CONUS
3917244,32.52,301.44,357.24,RUN2004_ANN_CONUS
3917912,267.6,291.96,291.96,RUN2004_ANN_CONUS
3917914,187.08,194.4,194.4,RUN2004_ANN_CONUS
3917916,253.92,245.04,245.04,RUN2004_ANN_CONUS
3917918,146.28,264.36,264.36,RUN2004_ANN_CONUS
3917920,103.08,121.68,121.68,RUN2004_ANN_CONUS
3917922,84.84,84.84,84.84,RUN2004_ANN_CONUS
3917946,38.52,295.56,352.08,RUN2004_ANN_CONUS
3917948,55.2,240.12,240.12,RUN2004_ANN_CONUS
3917950,41.04,306.24,361.44,RUN2004_ANN_CONUS
948010089,77.76,84.24,84.24,RUN2004_ANN_CONUS
