COMID,CAT_TAV1949_ANN,ACC_TAV1949_ANN,TOT_TAV1949_ANN,source
3917070,6.95,6.95,6.95,TAV1949_ANN_CONUS
3917072,7.08,7.08,7.08,TAV1949_ANN_CONUS
3917082,6.63,6.63,6.63,TAV1949_ANN_CONUS
3917084,6.46,6.46,6.46,TAV1949_ANN_CONUS
3917106,6.75,6.58,6.58,TAV1949_ANN_CONUS
3917114,6.85,6.85,6.85,TAV1949_ANN_CONUS
3917130,6.94,6.88,6.88,TAV1949_ANN_CONUS
3917136,6.87,6.87,6.87,TAV1949_ANN_CONUS
3917138,7,7,7,TAV1949_ANN_CONUS
3917154,6.98,6.98,6.98,TAV1949_ANN_CONUS
3917156,7.29,7.29,7.29,TAV1949_ANN_CONUS
3917158,8.63,8.63,8.63,TAV1949_ANN_CONUS
3917160,8.4,8.4,8.4,TAV1949_ANN_CONUS
3917162,7.22,6.9,6.9,TAV1949_ANN_CONUS
3917164,7.91,7.91,7.91,TAV1949_ANN_CONUS
3917172,7.52,7.52,7.52,TAV1949_ANN_CONUS
3917176,7.7,7.04,7.04,TAV1949_ANN_CONUS
3917178,7.46,6.97,6.97,TAV1949_ANN_CONUS
3917194,6.99,6.99,6.99,TAV1949_ANN_CONUS
3917198,8.91,7.29,7.29,TAV1949_ANN_CONUS
3917200,9.36,7.4,7.4,TAV1949_ANN_CONUS
3917230,9.95,9.95,9.95,TAV1949_ANN_CONUS
3917244,9.88,7.43,7.39,TAV1949_ANN_CONUS
3917912,7.33,6.93,6.93,TAV1949_ANN_CONUS
3917914,7.24,7.19,7.19,TAV1949_ANN_CONUS
3917916,7.02,7.06,7.06,TAV1949_ANN_CONUS
3917918,8.21,7.2,7.2,TAV1949_ANN_CONUS
3917920,8.66,8.52,8.52,TAV1949_ANN_CONUS
3917922,9.03,9.03,9.03,TAV1949_ANN_CONUS
3917946,10.14,7.49,7.44,TAV1949_ANN_CONUS
3917948,9.44,7.44,7.44,TAV1949_ANN_CONUS
3917950,9.65,7.39,7.36,TAV1949_ANN_CONUS
948010089,9.12,9.04,9.04,TAV1949_ANN_CONUS
