COMID,CAT_TAV1984_ANN,ACC_TAV1984_ANN,TOT_TAV1984_ANN,source
3917070,7.3,7.3,7.3,TAV1984_ANN_CONUS
3917072,7.49,7.49,7.49,TAV1984_ANN_CONUS
3917082,7.02,7.02,7.02,TAV1984_ANN_CONUS
3917084,6.75,6.75,6.75,TAV1984_ANN_CONUS
3917106,7.17,6.92,6.92,TAV1984_ANN_CONUS
3917114,7.27,7.27,7.27,TAV1984_ANN_CONUS
3917130,7.36,7.34,7.34,TAV1984_ANN_CONUS
3917136,7.34,7.34,7.34,TAV1984_ANN_CONUS
3917138,7.49,7.49,7.49,TAV1984_ANN_CONUS
3917154,7.39,7.37,7.37,TAV1984_ANN_CONUS
3917156,7.85,7.85,7.85,TAV1984_ANN_CONUS
3917158,9.56,9.56,9.56,TAV1984_ANN_CONUS
3917160,9.22,9.22,9.22,TAV1984_ANN_CONUS
3917162,7.76,7.38,7.38,TAV1984_ANN_CONUS
3917164,8.63,8.63,8.63,TAV1984_ANN_CONUS
3917172,8.1,8.1,8.1,TAV1984_ANN_CONUS
3917176,8.4,7.54,7.54,TAV1984_ANN_CONUS
3917178,8.11,7.46,7.46,TAV1984_ANN_CONUS
3917194,7.53,7.53,7.53,TAV1984_ANN_CONUS
3917198,9.81,7.85,7.85,TAV1984_ANN_CONUS
3917200,10.18,7.99,7.99,TAV1984_ANN_CONUS
3917230,10.65,10.65,10.65,TAV1984_ANN_CONUS
3917244,10.58,8.18,8.15,TAV1984_ANN_CONUS
3917912,7.93,7.41,7.41,TAV1984_ANN_CONUS
3917914,7.93,7.84,7.84,TAV1984_ANN_CONUS
3917916,7.5,7.62,7.62,TAV1984_ANN_CONUS
3917918,9.02,7.74,7.74,TAV1984_ANN_CONUS
3917920,9.58,9.38,9.38,TAV1984_ANN_CONUS
3917922,9.94,9.94,9.94,TAV1984_ANN_CONUS
3917946,10.77,8.24,8.19,TAV1984_ANN_CONUS
3917948,10.25,8.03,8.03,TAV1984_ANN_CONUS
3917950,10.41,8.14,8.12,TAV1984_ANN_CONUS
948010089,10.01,9.94,9.94,TAV1984_ANN_CONUS
