COMID,CAT_PPT1974_ANN,ACC_PPT1974_ANN,TOT_PPT1974_ANN,source
3917070,799.08,799.08,799.08,PPT1974_ANN_CONUS
3917072,788.04,788.04,788.04,PPT1974_ANN_CONUS
3917082,761.64,761.64,761.64,PPT1974_ANN_CONUS
3917084,782.28,782.28,782.28,PPT1974_ANN_CONUS
3917106,725.52,759.48,759.48,PPT1974_ANN_CONUS
3917114,725.52,725.52,725.52,PPT1974_ANN_CONUS
3917130,693.48,735.36,735.36,PPT1974_ANN_CONUS
3917136,664.56,664.56,664.56,PPT1974_ANN_CONUS
3917138,588.84,588.84,588.84,PPT1974_ANN_CONUS
3917154,764.28,770.76,770.76,PPT1974_ANN_CONUS
3917156,696.36,696.36,696.36,PPT1974_ANN_CONUS
3917158,466.44,466.44,466.44,PPT1974_ANN_CONUS
3917160,482.88,482.88,482.88,PPT1974_ANN_CONUS
3917162,676.32,730.2,730.2,PPT1974_ANN_CONUS
3917164,572.64,572.64,572.64,PPT1974_ANN_CONUS
3917172,667.32,667.32,667.32,PPT1974_ANN_CONUS
3917176,752.64,726.24,726.24,PPT1974_ANN_CONUS
3917178,720.96,729.36,729.36,PPT1974_ANN_CONUS
3917194,831.6,831.6,831.6,PPT1974_ANN_CONUS
3917198,450.96,687.96,687.96,PPT1974_ANN_CONUS
3917200,418.32,670.8,670.8,PPT1974_ANN_CONUS
3917230,343.44,343.44,343.44,PPT1974_ANN_CONUS
3917244,360.36,856.32,939.36,PPT1974_ANN_CONUS
3917912,676.08,731.04,731.04,PPT1974_ANN_CONUS
3917914,592.08,602.52,602.52,PPT1974_ANN_CONUS
3917916,684.12,729.12,729.12,PPT1974_ANN_CONUS
3917918,581.04,703.2,703.2,PPT1974_ANN_CONUS
3917920,463.32,474.48,474.48,PPT1974_ANN_CONUS
3917922,423.84,423.84,423.84,PPT1974_ANN_CONUS
3917946,362.4,845.16,930,PPT1974_ANN_CONUS
3917948,405.24,665.88,665.88,PPT1974_ANN_CONUS
3917950,379.2,865.2,946.8,PPT1974_ANN_CONUS
948010089,418.92,423.48,423.48,PPT1974_ANN_CONUS
