COMID,CAT_TAV1989_ANN,ACC_TAV1989_ANN,TOT_TAV1989_ANN,source
3917070,7.34,7.34,7.34,TAV1989_ANN_CONUS
3917072,7.49,7.49,7.49,TAV1989_ANN_CONUS
3917082,7.01,7.01,7.01,TAV1989_ANN_CONUS
3917084,6.82,6.82,6.82,TAV1989_ANN_CONUS
3917106,7.14,6.95,6.95,TAV1989_ANN_CONUS
3917114,7.26,7.26,7.26,TAV1989_ANN_CONUS
3917130,7.33,7.29,7.29,TAV1989_ANN_CONUS
3917136,7.29,7.29,7.29,TAV1989_ANN_CONUS
3917138,7.44,7.44,7.44,TAV1989_ANN_CONUS
3917154,7.38,7.38,7.38,TAV1989_ANN_CONUS
3917156,7.74,7.74,7.74,TAV1989_ANN_CONUS
3917158,9.23,9.23,9.23,TAV1989_ANN_CONUS
3917160,9,9,9,TAV1989_ANN_CONUS
3917162,7.65,7.32,7.32,TAV1989_ANN_CONUS
3917164,8.45,8.45,8.45,TAV1989_ANN_CONUS
3917172,8,8,8,TAV1989_ANN_CONUS
3917176,8.21,7.47,7.47,TAV1989_ANN_CONUS
3917178,7.94,7.4,7.4,TAV1989_ANN_CONUS
3917194,7.44,7.44,7.44,TAV1989_ANN_CONUS
3917198,9.49,7.75,7.75,TAV1989_ANN_CONUS
3917200,9.87,7.87,7.87,TAV1989_ANN_CONUS
3917230,10.3,10.3,10.3,TAV1989_ANN_CONUS
3917244,10.25,8.05,8.06,TAV1989_ANN_CONUS
3917912,7.79,7.35,7.35,TAV1989_ANN_CONUS
3917914,7.73,7.67,7.67,TAV1989_ANN_CONUS
3917916,7.44,7.51,7.51,TAV1989_ANN_CONUS
3917918,8.77,7.65,7.65,TAV1989_ANN_CONUS
3917920,9.25,9.11,9.11,TAV1989_ANN_CONUS
3917922,9.62,9.62,9.62,TAV1989_ANN_CONUS
3917946,10.39,8.1,8.1,TAV1989_ANN_CONUS
3917948,9.93,7.91,7.91,TAV1989_ANN_CONUS
3917950,10.1,8.01,8.03,TAV1989_ANN_CONUS
948010089,9.69,9.62,9.62,TAV1989_ANN_CONUS
