COMID,CAT_TAV1968_ANN,ACC_TAV1968_ANN,TOT_TAV1968_ANN,source
3917070,7.74,7.74,7.74,TAV1968_ANN_CONUS
3917072,7.89,7.89,7.89,TAV1968_ANN_CONUS
3917082,7.45,7.45,7.45,TAV1968_ANN_CONUS
3917084,7.24,7.24,7.24,TAV1968_ANN_CONUS
3917106,7.58,7.38,7.38,TAV1968_ANN_CONUS
3917114,7.67,7.67,7.67,TAV1968_ANN_CONUS
3917130,7.78,7.7,7.7,TAV1968_ANN_CONUS
3917136,7.71,7.71,7.71,TAV1968_ANN_CONUS
3917138,7.84,7.84,7.84,TAV1968_ANN_CONUS
3917154,7.79,7.78,7.78,TAV1968_ANN_CONUS
3917156,8.14,8.14,8.14,TAV1968_ANN_CONUS
3917158,9.4,9.4,9.4,TAV1968_ANN_CONUS
3917160,9.18,9.18,9.18,TAV1968_ANN_CONUS
3917162,8.09,7.73,7.73,TAV1968_ANN_CONUS
3917164,8.71,8.71,8.71,TAV1968_ANN_CONUS
3917172,8.33,8.33,8.33,TAV1968_ANN_CONUS
3917176,8.56,7.87,7.87,TAV1968_ANN_CONUS
3917178,8.33,7.81,7.81,TAV1968_ANN_CONUS
3917194,7.83,7.83,7.83,TAV1968_ANN_CONUS
3917198,9.68,8.11,8.11,TAV1968_ANN_CONUS
3917200,10.08,8.22,8.22,TAV1968_ANN_CONUS
3917230,10.6,10.6,10.6,TAV1968_ANN_CONUS
3917244,10.55,8.26,8.28,TAV1968_ANN_CONUS
3917912,8.2,7.76,7.76,TAV1968_ANN_CONUS
3917914,8.05,8,8,TAV1968_ANN_CONUS
3917916,7.88,7.89,7.89,TAV1968_ANN_CONUS
3917918,9.02,8.03,8.03,TAV1968_ANN_CONUS
3917920,9.43,9.29,9.29,TAV1968_ANN_CONUS
3917922,9.8,9.8,9.8,TAV1968_ANN_CONUS
3917946,10.74,8.32,8.32,TAV1968_ANN_CONUS
3917948,10.15,8.26,8.26,TAV1968_ANN_CONUS
3917950,10.35,8.22,8.25,TAV1968_ANN_CONUS
948010089,9.88,9.81,9.81,TAV1968_ANN_CONUS
