ID,COMID,CAT_TAV_JAN_2016,CAT_TAV_FEB_2016,CAT_TAV_MAR_2016,CAT_TAV_APR_2016,CAT_TAV_MAY_2016,CAT_TAV_JUN_2016,CAT_TAV_JUL_2016,CAT_TAV_AUG_2016,CAT_TAV_SEP_2016,CAT_TAV_OCT_2016,CAT_TAV_NOV_2016,CAT_TAV_DEC_2016,source
406322,3917070,-0.81,3.33,2.31,7.82,9.59,14.52,18.06,20.33,14.46,7.04,4.19,-2.19,CAT_TAV_2016
406323,3917072,-0.75,3.41,2.41,7.92,9.69,14.63,18.19,20.46,14.58,7.14,4.26,-2.16,CAT_TAV_2016
406328,3917082,-1.35,2.55,1.29,6.73,8.34,13.36,16.98,19.18,13.39,6.25,3.29,-2.74,CAT_TAV_2016
406329,3917084,-0.91,2.99,1.91,7.27,9,13.99,17.5,19.67,13.95,6.72,3.87,-2.4,CAT_TAV_2016
406340,3917106,-0.82,3.19,2.12,7.47,9.13,14.12,17.69,19.87,14.07,6.87,3.93,-2.31,CAT_TAV_2016
406344,3917114,-0.24,3.82,3.01,8.33,10.14,15.09,18.48,20.62,14.88,7.54,4.69,-1.84,CAT_TAV_2016
406352,3917130,0,4.14,3.45,8.61,10.42,15.34,18.76,20.88,15.04,7.71,4.92,-1.67,CAT_TAV_2016
406355,3917136,-0.6,3.52,2.47,7.81,9.42,14.4,18.05,20.24,14.39,7.2,4.15,-2.11,CAT_TAV_2016
406356,3917138,0.44,4.84,4.09,9.27,10.91,15.84,19.51,21.66,15.76,8.49,5.37,-1.26,CAT_TAV_2016
406364,3917154,-0.54,3.59,2.67,8.12,9.91,14.85,18.34,20.56,14.73,7.32,4.45,-2.02,CAT_TAV_2016
406365,3917156,0.23,4.45,3.84,9.18,11.02,15.95,19.29,21.39,15.61,8.19,5.27,-1.4,CAT_TAV_2016
406366,3917158,2.52,5.88,6.64,11.4,13.65,18.57,21.48,22.66,16.89,10.17,7.14,0.09,CAT_TAV_2016
406367,3917160,2.19,5.92,6.39,11.29,13.48,18.35,21.25,22.7,16.89,9.98,7,0.06,CAT_TAV_2016
406368,3917162,0.4,4.63,4.1,9.28,11.12,16.03,19.36,21.42,15.61,8.23,5.38,-1.31,CAT_TAV_2016
406369,3917164,1.36,5.42,5.28,10.53,12.48,17.41,20.6,22.48,16.63,9.43,6.4,-0.63,CAT_TAV_2016
406373,3917172,0.45,4.54,4.04,9.39,11.26,16.19,19.54,21.56,15.71,8.43,5.46,-1.28,CAT_TAV_2016
406375,3917176,1.05,5.03,4.83,9.98,11.94,16.86,19.98,21.73,16,8.88,5.93,-0.81,CAT_TAV_2016
406376,3917178,0.66,4.79,4.38,9.61,11.51,16.43,19.62,21.55,15.82,8.52,5.61,-1.09,CAT_TAV_2016
406383,3917194,-0.56,3.55,2.54,7.83,9.6,14.55,18.19,20.31,14.51,7.14,4.32,-2.19,CAT_TAV_2016
406384,3917198,2.59,5.88,6.7,11.42,13.7,18.63,21.54,22.67,16.91,10.22,7.18,0.11,CAT_TAV_2016
406385,3917200,2.58,5.88,6.69,11.42,13.68,18.61,21.52,22.67,16.89,10.2,7.17,0.09,CAT_TAV_2016
406396,3917230,2.96,5.9,7.28,11.65,14.16,19.13,22.3,23.24,17.13,10.54,7.42,0.22,CAT_TAV_2016
406398,3917244,2.91,5.99,7.29,11.68,14.16,19.14,22.32,23.28,17.16,10.51,7.41,0.22,CAT_TAV_2016
406496,3917912,0.47,4.71,4.2,9.5,11.36,16.28,19.56,21.62,15.86,8.45,5.52,-1.21,CAT_TAV_2016
406497,3917914,0.38,4.75,3.97,9.12,10.76,15.72,19.49,21.6,15.75,8.44,5.26,-1.35,CAT_TAV_2016
406498,3917916,0.03,4.29,3.51,8.69,10.41,15.34,18.89,21.03,15.16,7.85,4.92,-1.61,CAT_TAV_2016
406499,3917918,1.96,5.57,5.94,10.86,12.98,17.91,20.9,22.29,16.54,9.69,6.68,-0.24,CAT_TAV_2016
406500,3917920,2.58,5.88,6.69,11.42,13.69,18.62,21.54,22.67,16.91,10.21,7.17,0.1,CAT_TAV_2016
406501,3917922,2.76,5.91,6.86,11.48,13.85,18.8,21.74,22.77,17.04,10.38,7.29,0.21,CAT_TAV_2016
406511,3917946,3,6.08,7.5,12.07,14.48,19.41,22.42,23.53,17.43,10.63,7.54,0.43,CAT_TAV_2016
406512,3917948,2.82,5.89,7.05,11.5,13.91,18.87,21.95,22.91,16.92,10.3,7.32,0.07,CAT_TAV_2016
406513,3917950,2.88,5.97,7.2,11.6,14.06,19.03,22.19,23.15,17.07,10.42,7.39,0.15,CAT_TAV_2016
2695742,948010089,2.79,5.91,6.88,11.48,13.86,18.82,21.76,22.76,17.04,10.39,7.3,0.22,CAT_TAV_2016
