COMID,CAT_PPT1961_ANN,ACC_PPT1961_ANN,TOT_PPT1961_ANN,source
3917070,872.52,872.52,872.52,PPT1961_ANN_CONUS
3917072,852,852,852,PPT1961_ANN_CONUS
3917082,880.2,880.2,880.2,PPT1961_ANN_CONUS
3917084,878.88,878.88,878.88,PPT1961_ANN_CONUS
3917106,836.16,862.56,862.56,PPT1961_ANN_CONUS
3917114,783.36,783.36,783.36,PPT1961_ANN_CONUS
3917130,765.12,823.32,823.32,PPT1961_ANN_CONUS
3917136,773.76,773.76,773.76,PPT1961_ANN_CONUS
3917138,681,681,681,PPT1961_ANN_CONUS
3917154,826.2,834.84,834.84,PPT1961_ANN_CONUS
3917156,749.64,749.64,749.64,PPT1961_ANN_CONUS
3917158,491.28,491.28,491.28,PPT1961_ANN_CONUS
3917160,514.56,514.56,514.56,PPT1961_ANN_CONUS
3917162,730.56,814.56,814.56,PPT1961_ANN_CONUS
3917164,670.32,670.32,670.32,PPT1961_ANN_CONUS
3917172,749.28,749.28,749.28,PPT1961_ANN_CONUS
3917176,756.48,800.16,800.16,PPT1961_ANN_CONUS
3917178,749.16,805.8,805.8,PPT1961_ANN_CONUS
3917194,909.48,909.48,909.48,PPT1961_ANN_CONUS
3917198,478.32,756,756,PPT1961_ANN_CONUS
3917200,454.68,736.56,736.56,PPT1961_ANN_CONUS
3917230,375.6,375.6,375.6,PPT1961_ANN_CONUS
3917244,391.2,818.28,859.56,PPT1961_ANN_CONUS
3917912,716.28,811.08,811.08,PPT1961_ANN_CONUS
3917914,680.4,693.96,693.96,PPT1961_ANN_CONUS
3917916,760.08,810.72,810.72,PPT1961_ANN_CONUS
3917918,603.12,774,774,PPT1961_ANN_CONUS
3917920,488.76,503.04,503.04,PPT1961_ANN_CONUS
3917922,456.48,456.48,456.48,PPT1961_ANN_CONUS
3917946,393.72,808.68,851.88,PPT1961_ANN_CONUS
3917948,444.96,731.04,731.04,PPT1961_ANN_CONUS
3917950,422.76,825.84,865.56,PPT1961_ANN_CONUS
948010089,452.28,456.12,456.12,PPT1961_ANN_CONUS
