COMID,CAT_RUN2009_ANN,ACC_RUN2009_ANN,TOT_RUN2009_ANN,source
3917070,162.24,162.24,162.24,RUN2009_ANN_CONUS
3917072,150.24,150.24,150.24,RUN2009_ANN_CONUS
3917082,130.92,130.92,130.92,RUN2009_ANN_CONUS
3917084,155.64,155.64,155.64,RUN2009_ANN_CONUS
3917106,117.6,139.68,139.68,RUN2009_ANN_CONUS
3917114,109.08,109.08,109.08,RUN2009_ANN_CONUS
3917130,97.32,96.84,96.84,RUN2009_ANN_CONUS
3917136,105,105,105,RUN2009_ANN_CONUS
3917138,92.4,92.4,92.4,RUN2009_ANN_CONUS
3917154,134.88,139.92,139.92,RUN2009_ANN_CONUS
3917156,82.08,82.08,82.08,RUN2009_ANN_CONUS
3917158,42.6,42.6,42.6,RUN2009_ANN_CONUS
3917160,57.48,57.48,57.48,RUN2009_ANN_CONUS
3917162,57.48,93.84,93.84,RUN2009_ANN_CONUS
3917164,61.2,61.2,61.2,RUN2009_ANN_CONUS
3917172,99.36,99.36,99.36,RUN2009_ANN_CONUS
3917176,39.6,90.84,90.84,RUN2009_ANN_CONUS
3917178,36.12,92.4,92.4,RUN2009_ANN_CONUS
3917194,52.92,52.92,52.92,RUN2009_ANN_CONUS
3917198,29.16,82.32,82.32,RUN2009_ANN_CONUS
3917200,16.32,78,78,RUN2009_ANN_CONUS
3917230,10.68,10.68,10.68,RUN2009_ANN_CONUS
3917244,10.56,121.56,182.64,RUN2009_ANN_CONUS
3917912,60.36,96.24,96.24,RUN2009_ANN_CONUS
3917914,81.36,84.84,84.84,RUN2009_ANN_CONUS
3917916,79.32,68.52,68.52,RUN2009_ANN_CONUS
3917918,44.52,84.72,84.72,RUN2009_ANN_CONUS
3917920,40.68,50.04,50.04,RUN2009_ANN_CONUS
3917922,16.44,16.44,16.44,RUN2009_ANN_CONUS
3917946,11.76,119.16,179.88,RUN2009_ANN_CONUS
3917948,13.2,76.8,76.8,RUN2009_ANN_CONUS
3917950,11.04,123.6,184.92,RUN2009_ANN_CONUS
948010089,13.92,16.2,16.2,RUN2009_ANN_CONUS
