COMID,CAT_SRL25AG,CAT_SRL35AG,CAT_SRL45AG,CAT_SRL55AG,NODATA,source
3917070,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917072,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917082,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917084,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917106,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917114,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917130,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917136,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917138,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917154,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917156,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917158,100,100,100,100,97.7,SSURGO_SRL_CAT_CONUS
3917160,50.29,50.29,50.29,50.29,100,SSURGO_SRL_CAT_CONUS
3917162,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917164,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917172,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917176,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917178,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917194,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917198,69.58,69.58,69.58,69.58,0,SSURGO_SRL_CAT_CONUS
3917200,64.24,64.24,64.24,64.24,0,SSURGO_SRL_CAT_CONUS
3917230,78.83,79.27,79.27,79.27,0,SSURGO_SRL_CAT_CONUS
3917244,51.1,51.14,51.14,51.14,0.39,SSURGO_SRL_CAT_CONUS
3917912,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917914,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917916,59.86,59.86,59.86,59.86,100,SSURGO_SRL_CAT_CONUS
3917918,59.86,59.86,59.86,59.86,79.67,SSURGO_SRL_CAT_CONUS
3917920,50.29,50.29,50.29,50.29,11.12,SSURGO_SRL_CAT_CONUS
3917922,65.99,65.99,65.99,65.99,48.5,SSURGO_SRL_CAT_CONUS
3917946,71.81,72.36,72.36,72.36,0,SSURGO_SRL_CAT_CONUS
3917948,31.14,31.14,31.14,31.14,1.55,SSURGO_SRL_CAT_CONUS
3917950,21.39,27.87,27.87,27.87,1.33,SSURGO_SRL_CAT_CONUS
948010089,93.54,93.54,93.54,93.54,0,SSURGO_SRL_CAT_CONUS
