COMID,CAT_PPT2001_ANN,ACC_PPT2001_ANN,TOT_PPT2001_ANN,source
3917070,593.64,593.64,593.64,PPT2001_ANN_CONUS
3917072,585.84,585.84,585.84,PPT2001_ANN_CONUS
3917082,515.28,515.28,515.28,PPT2001_ANN_CONUS
3917084,542.76,542.76,542.76,PPT2001_ANN_CONUS
3917106,501.84,525.6,525.6,PPT2001_ANN_CONUS
3917114,532.08,532.08,532.08,PPT2001_ANN_CONUS
3917130,524.52,494.88,494.88,PPT2001_ANN_CONUS
3917136,448.32,448.32,448.32,PPT2001_ANN_CONUS
3917138,400.44,400.44,400.44,PPT2001_ANN_CONUS
3917154,564.72,570.12,570.12,PPT2001_ANN_CONUS
3917156,532.44,532.44,532.44,PPT2001_ANN_CONUS
3917158,396.12,396.12,396.12,PPT2001_ANN_CONUS
3917160,427.68,427.68,427.68,PPT2001_ANN_CONUS
3917162,514.92,497.4,497.4,PPT2001_ANN_CONUS
3917164,465.72,465.72,465.72,PPT2001_ANN_CONUS
3917172,518.64,518.64,518.64,PPT2001_ANN_CONUS
3917176,495.24,507,507,PPT2001_ANN_CONUS
3917178,514.68,506.64,506.64,PPT2001_ANN_CONUS
3917194,507.96,507.96,507.96,PPT2001_ANN_CONUS
3917198,380.4,492.48,492.48,PPT2001_ANN_CONUS
3917200,338.88,485.04,485.04,PPT2001_ANN_CONUS
3917230,281.16,281.16,281.16,PPT2001_ANN_CONUS
3917244,287.28,575.04,644.64,PPT2001_ANN_CONUS
3917912,519.12,505.2,505.2,PPT2001_ANN_CONUS
3917914,394.8,402.6,402.6,PPT2001_ANN_CONUS
3917916,472.56,468,468,PPT2001_ANN_CONUS
3917918,440.16,498.24,498.24,PPT2001_ANN_CONUS
3917920,394.8,412.68,412.68,PPT2001_ANN_CONUS
3917922,379.2,379.2,379.2,PPT2001_ANN_CONUS
3917946,283.8,568.56,638.76,PPT2001_ANN_CONUS
3917948,330,482.16,482.16,PPT2001_ANN_CONUS
3917950,305.04,580.2,649.2,PPT2001_ANN_CONUS
948010089,372.84,378.6,378.6,PPT2001_ANN_CONUS
