COMID,CAT_WB5100_JAN,CAT_WB5100_FEB,CAT_WB5100_MAR,CAT_WB5100_APR,CAT_WB5100_MAY,CAT_WB5100_JUN,CAT_WB5100_JUL,CAT_WB5100_AUG,CAT_WB5100_SEP,CAT_WB5100_OCT,CAT_WB5100_NOV,CAT_WB5100_DEC,NODATA,source
3917070,45,72,64,49,36,19,9,5,3,4,13,26,0,WB5100_CAT_CONUS
3917072,45,72,64,49,36,19,9,5,3,4,13,26,0,WB5100_CAT_CONUS
3917082,44.65,74.65,64.49,51.37,38.64,21.44,10.62,6.21,3.6,4.59,11.61,25.15,0,WB5100_CAT_CONUS
3917084,46.45,78.61,67.99,54.86,41.95,23.32,11.61,6.75,3.87,4.87,12.85,26.66,0,WB5100_CAT_CONUS
3917106,36.05,54.17,47.16,33.19,21.19,11.12,5.07,3.04,2.01,3.01,6.06,18.06,0,WB5100_CAT_CONUS
3917114,42.02,63.12,56.55,40.85,27.85,14.59,6.81,4.3,3.03,4.03,9.21,22.99,0,WB5100_CAT_CONUS
3917130,41.39,62.15,55.63,39.99,27.07,14.28,6.65,4.11,2.86,3.86,8.48,21.82,0,WB5100_CAT_CONUS
3917136,35.31,52.97,46.31,32.45,20.59,10.79,4.93,2.93,1.93,2.93,5.86,17.59,0,WB5100_CAT_CONUS
3917138,36,54,47,33,21,11,5,3,2,3,6,18,0,WB5100_CAT_CONUS
3917154,44.13,69.38,61.82,46.6,33.6,17.69,8.35,4.78,3,4,11.91,25.13,0,WB5100_CAT_CONUS
3917156,42.42,64.27,57.56,41.92,28.92,15.14,7.07,4.36,3,4,9.78,23.42,0,WB5100_CAT_CONUS
3917158,30.43,35.46,28.46,16.43,10,4.83,2.22,1.6,1.6,2.6,4.43,15.63,0,WB5100_CAT_CONUS
3917160,28.87,33.02,26.02,14.87,9.15,4.29,1.86,1.43,1.43,2.43,3.72,14.58,0,WB5100_CAT_CONUS
3917162,43.6,65.31,59.1,42.69,29.37,15.5,7.25,4.52,3.21,4.21,9.46,23.35,0,WB5100_CAT_CONUS
3917164,38.27,48.85,42.19,27.17,17.29,8.9,4.37,2.68,2.34,3.17,8.22,20.73,0,WB5100_CAT_CONUS
3917172,47.06,71.56,64.48,48.33,34.47,18.22,8.68,4.84,3.12,3.87,13.55,26.93,0,WB5100_CAT_CONUS
3917176,57.84,87.55,81.91,62.43,44.73,24.07,11.54,6.25,4.04,4.34,18.07,32.6,0,WB5100_CAT_CONUS
3917178,52.71,80.6,74.49,56.23,40.53,21.78,10.39,5.8,3.79,4.45,14.87,28.98,0,WB5100_CAT_CONUS
3917194,47.65,78.1,71.62,53.93,38.72,20.2,9.6,5.18,2.71,3.71,12.82,24.3,0,WB5100_CAT_CONUS
3917198,26,29,22,12,7,4,2,1,1,2,3,13,0,WB5100_CAT_CONUS
3917200,26,29,22,12,7,4,2,1,1,2,3,13,0,WB5100_CAT_CONUS
3917230,15.34,15.69,10.03,4.69,3.34,2.34,1,1,1,2,2,7,0,WB5100_CAT_CONUS
3917244,16.34,17.33,11.96,6.33,3.99,2.64,1,1,1,2,2,7.35,0,WB5100_CAT_CONUS
3917912,42.51,63.84,57.39,41.47,28.39,14.88,6.94,4.34,3.06,4.06,9.4,23.17,0,WB5100_CAT_CONUS
3917914,32.11,49.58,44.76,31.14,19.69,10.17,4.9,2.72,1.7,2.53,5.64,15.43,0,WB5100_CAT_CONUS
3917916,43.03,67.56,60.42,44.87,31.76,17,8,4.39,2.66,3.66,9.81,21.95,0,WB5100_CAT_CONUS
3917918,51.74,74.75,69.19,51.5,35.92,19.34,9.29,5.03,3.39,3.68,15.44,29.21,0,WB5100_CAT_CONUS
3917920,25.89,28.78,21.78,11.89,7,3.89,1.89,1,1,2,2.89,12.89,0,WB5100_CAT_CONUS
3917922,25.36,27.72,20.72,11.36,7,3.36,1.36,1,1,2,2.36,12.36,0,WB5100_CAT_CONUS
3917946,16.26,17.14,12.03,6.14,3.89,2.89,1,1,1,2,2,7.37,0,WB5100_CAT_CONUS
3917948,25.24,28.08,21.16,11.58,6.75,3.83,1.92,1,1,2,2.92,12.58,0,WB5100_CAT_CONUS
3917950,18.3,19.73,13.73,7.86,4.43,2.43,1,1,1,2,2,8.86,0,WB5100_CAT_CONUS
948010089,26,29,22,12,7,4,2,1,1,2,3,13,0,WB5100_CAT_CONUS
